ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
711;Sparta-stadion - Het Kasteel                                ;11026;154;154;St. Kitts & Nevis                                 ;
712;Spor Toto Akhisar Stadyumu                                  ;12139;154;154;St. Kitts & Nevis                                 ;
713;Sportpark Ronhof | Thomas Sommer                            ;16626;154;154;St. Kitts & Nevis                                 ;
714;St James' Park                                              ;52338;154;154;St. Kitts & Nevis                                 ;
715;St Mary's Stadium                                           ;32384;154;154;St. Kitts & Nevis                                 ;
717;Stade Armand-Cesari                                         ;16480;154;154;St. Kitts & Nevis                                 ;
718;Stade Auguste-Bonal                                         ;20005;154;154;St. Kitts & Nevis                                 ;
719;Stade Auguste-Delaune                                       ;21684;154;154;St. Kitts & Nevis                                 ;
720;Stade Bollaert-Delelis                                      ;38223;154;154;St. Kitts & Nevis                                 ;
722;Stade Charles Tondreau                                      ;12662;154;154;St. Kitts & Nevis                                 ;
723;Stade Crédit Agricole la Licorne                            ;12999;154;154;St. Kitts & Nevis                                 ;
724;Stade de la Beaujoire                                       ;37463;154;154;St. Kitts & Nevis                                 ;
725;Stade de la Meinau                                          ;26109;154;154;St. Kitts & Nevis                                 ;
726;Stade de la Mosson                                          ;32939;154;154;St. Kitts & Nevis                                 ;
727;Stade de l'Abbé-Deschamps                                   ;18541;154;154;St. Kitts & Nevis                                 ;
728;Stade de l'Aube                                             ;21877;154;154;St. Kitts & Nevis                                 ;
730;Stade du Hainaut                                            ;25000;154;154;St. Kitts & Nevis                                 ;
731;Stade du Moustoir                                           ;19010;154;154;St. Kitts & Nevis                                 ;
733;Stade du Pays de Charleroi                                  ;15000;154;154;St. Kitts & Nevis                                 ;
734;Stade du Roudourou                                          ;18120;154;154;St. Kitts & Nevis                                 ;
735;Stade Francis-Le Blé                                        ;15220;154;154;St. Kitts & Nevis                                 ;
736;Stade François-Coty                                         ;10446;154;154;St. Kitts & Nevis                                 ;
737;Stade Gabriel-Montpied                                      ;13000;154;154;St. Kitts & Nevis                                 ;
738;Stade Gaston-Gérard                                         ;16098;154;154;St. Kitts & Nevis                                 ;
739;Stade Geoffroy-Guichard                                     ;42000;154;154;St. Kitts & Nevis                                 ;
741;Stade Louis-II                                              ;17000;154;154;St. Kitts & Nevis                                 ;
742;Stade Marcel-Picot                                          ;20087;154;154;St. Kitts & Nevis                                 ;
743;Stade Michel-d'Ornano                                       ;20500;154;154;St. Kitts & Nevis                                 ;
744;Stade Océane                                                ;25178;154;154;St. Kitts & Nevis                                 ;
745;Stade Raymond Kopa                                          ;19350;154;154;St. Kitts & Nevis                                 ;
746;Stade Saint-Symphorien                                      ;28786;154;154;St. Kitts & Nevis                                 ;
747;Stadio Alkazar                                              ;13108;154;154;St. Kitts & Nevis                                 ;
748;Stadio Diego Armando Maradona                               ;54726;154;154;St. Kitts & Nevis                                 ;
749;Stadio Georgios Karaiskakis                                 ;32115;154;154;St. Kitts & Nevis                                 ;
754;Stadio Neas Smyrnis                                         ;11700;154;154;St. Kitts & Nevis                                 ;
755;Stadio Olimpico Grande Torino                               ;28177;154;154;St. Kitts & Nevis                                 ;
757;Stadio Renato Dall’Ara                                      ;36462;154;154;St. Kitts & Nevis                                 ;
759;"Stadion ""De Vijverberg""                                     ";12600;154;154;St. Kitts & Nevis                                 ;
760;"Stadion ""Galgenwaard""                                       ";23750;154;154;St. Kitts & Nevis                                 ;
761;Stadion An der Alten Försterei                              ;22012;154;154;St. Kitts & Nevis                                 ;
762;Stadion Avangard                                            ;12080;154;154;St. Kitts & Nevis                                 ;
764;Stadion Chornomorets ()                                     ;34164;154;154;St. Kitts & Nevis                                 ;
765;"Stadion Feyenoord ""De Kuip""                                 ";47500;154;154;St. Kitts & Nevis                                 ;
766;Stadion im Borussia-Park                                    ;54042;154;154;St. Kitts & Nevis                                 ;
767;Stadion im. Volodymyra Boyko                                ;12680;154;154;St. Kitts & Nevis                                 ;
768;Stadion im. Yuriya Gagarina                                 ;12060;154;154;St. Kitts & Nevis                                 ;
770;Stadion Krasnodar                                           ;35179;154;154;St. Kitts & Nevis                                 ;
