ID;Nome;Capacidade;EstadioID;total_jogos
792;Ülker Stadyumu FB Sükrü Saraçoglu Spor Kompleksi            ;47834;;
793;Ümraniye Belediyesi Sehir Stadi                             ;3513;;
794;Unipol Domus                                                ;16416;;
795;U-Power Stadium - Brianteo                                  ;16917;;
796;Valeriy Lobanovsky Stadion                                  ;16873;;
797;Van Donge & De Roo Stadion - Woudestein                     ;4400;;
798;VEB Arena                                                   ;30114;;
799;Vejle Stadion                                               ;10418;;
800;Veltins-Arena                                               ;62271;;
801;Viborg Stadion                                              ;10000;;
802;Vicarage Road                                               ;21577;;
803;Villa Park                                                  ;42682;;
804;Vitality Stadium                                            ;11329;;
805;Voith-Arena                                                 ;15000;;
806;Volgograd Arena                                             ;45568;;
807;Volksparkstadion                                            ;57000;;
808;Volkswagen Arena                                            ;28917;;
809;Vonovia Ruhrstadion                                         ;26000;;
810;Vorskla im. Oleksiy Butovskyi                               ;23842;;
811;VTB-Arena                                                   ;25716;;
812;Wohninvest-Weserstadion                                     ;42100;;
813;WWK ARENA                                                   ;30660;;
814;Xanthi Arena                                                ;7361;;
815;Yanmar Stadion                                              ;4500;;
816;Yekaterinburg Arena                                         ;23000;;
817;Yeni 4 Eylül Stadi                                          ;27532;;
818;Yeni Adana Stadyumu                                         ;33000;;
819;Yeni Malatya Stadyumu                                       ;25745;;
820;Zentralstadion Krasnoyarsk                                  ;15000;;
821;Zentralstadion Lokomotiv                                    ;17856;;
822;Zirka                                                       ;14628;;
823;Zvezda                                                      ;17000;;
824;FORTUNA ARENA                                               ;600;;
825;GAYFIELD PARK                                               ;902;;
826;MEADOW PARK                                                 ;931;;
827;KRISTALL STADION ZHIGULEVSK                                 ;602;;
828;STADION AM ZOO                                              ;4490;;
829;LINZER GUGL                                                 ;8304;;
830;SCHIERVELDESTADION                                          ;8125;;
831;PANASONIC STADIUM SUITA                                     ;5938;;
832;CAMPO MUNICIPAL DE VILLAVICIOSA DE ODÓN                     ;50;;
833;GRADSKI STADION TETOVO                                      ;1200;;
834;SANTA QUITERIA                                              ;0;;
835;EDGAR STREET                                                ;5026;;
836;BÜYÜKSEHIR BELEDIYESI KADIR HAS                             ;9500;;
